A. Mickiewicza;A.;Mickiewicza
Adama Asnyka;Adama;Asnyka
Adama Mickiewicza;Adama;Mickiewicza
Adama Wójcika;Adama;Wójcika
Adolfa Dygasińskiego;Adolfa;Dygasińskiego
Agnieszki Osieckiej;Agnieszki;Osieckiej
Alberta Einsteina;Alberta;Einsteina
Aleksandra Chodkiewicza;Aleksandra;Chodkiewicza
Aleksandra Putry;Aleksandra;Putry
Aleksandra Żabczyńskiego;Aleksandra;Żabczyńskiego
Aleksandry Piłsudskiej;Aleksandry;Piłsudskiej
Alfonsa Szyperskiego;Alfonsa;Szyperskiego
Alfreda Nobla;Alfreda;Nobla
Andrzeja Brończyka;Andrzeja;Brończyka
Andrzeja Struga;Andrzeja;Struga
Andrzeja Wajdy;Andrzeja;Wajdy
Anki Kowalskiej;Anki;Kowalskiej
Anny German;Anny;German
Anny Jabłonowskiej;Anny;Jabłonowskiej
Anny Jantar;Anny;Jantar
Anny Szczepanik;Anny;Szczepanik
Anny Walentynowicz;Anny;Walentynowicz
Antoniego Abrahama;Antoniego;Abrahama
Antoniego Ponikowskiego;Antoniego;Ponikowskiego
Antoniego Słonimskiego;Antoniego;Słonimskiego
Antoniego Suchanka;Antoniego;Suchanka
Arkadiusza Rybickiego;Arkadiusza;Rybickiego
Artura Grottgera;Artura;Grottgera
Artura Zawiszy;Artura;Zawiszy
Augustyna Necla;Augustyna;Necla
Bartosza Głowackiego;Bartosza;Głowackiego
Bernarda Purkopa;Bernarda;Purkopa
Biskupa Chrystiana;Biskupa;Chrystiana
Bolesława Prusa;Bolesława;Prusa
Braci Dudzińskich;Braci;Dudzińskich
Bronisława Geremka;Bronisława;Geremka
Cypriana Norwida;Cypriana;Norwida
Cyryla Ratajskiego;Cyryla;Ratajskiego
Czesława Freudenreicha;Czesława;Freudenreicha
Czesława Miłosza;Czesława;Miłosza
Czesława Niemena;Czesława;Niemena
"Danuty Siedzikówny ""Inki""";Danuty;"Siedzikówny ""Inki"""
